Состояние,Бренд,Модель,Процессор,Оперативная память (ГБ),Частота процессора,Количество ядер,Диагональ (дюйм),Разрешение экрана,Тип матрицы,Видеокарта,Тип,Назначение,Накопитель,Объем накопителя,ОС,Цвет,Емкость батареи,Доставка,Title,Link,Price
Б/у,Samsung,RC510,Intel Core i5,4,2.5 - 2.9 ГГц,4,15.6,HD (1600x900),Другой тип матрицы,Другая видеокарта,Ноутбук,Игровой,SSD,128 ГБ,Windows,Красный,6000 - 7000 мАч,Самовывоз,"Samsung RC510, Intel Core i5, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/samsung-rc510-intel-core-i5-4-gb-ozu-156-id-99564217,25 000 KGS
Требуется ремонт,Lenovo,THINBOOK,Intel Core i5,8,Более 3 ГГц,4,13.3,2K (2560х1600),IPS,Другая видеокарта,Ультрабук,"Для работы, учебы",SSD,128 ГБ,Windows,Серебристый,Более 7000 мАч,Самовывоз,"Lenovo THINBOOK, Intel Core i5, 8 ГБ ОЗУ, 13.3 """,https://lalafo.kg/bishkek/ads/lenovo-thinbook-intel-core-i5-8-gb-ozu-133-id-72719637,25 000 KGS
Б/у,Asus,X540SA-XX002T,Другой процессор,2,,2,15.6,HD (1366x768),,Другая видеокарта,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,,Самовывоз,"Asus X540SA-XX002T, Другой процессор, 2 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/asus-x540sa-xx002t-drugoj-processor-2-gb-ozu-156-id-90075452,15 000 KGS
Б/у,Dell,P35E,Intel Core i7,8,Более 3 ГГц,4,17,Full HD (1920x1080),Другой тип матрицы,Другая видеокарта,Ноутбук,Игровой,HDD,более 1 ТБ,Windows,Серый,4000 - 5000 мАч,Самовывоз,"Dell P35E, Intel Core i7, 8 ГБ ОЗУ, 17 """,https://lalafo.kg/maevka/ads/dell-p35e-intel-core-i7-8-gb-ozu-17-id-99564108,52 000 KGS
Б/у,HP,HP Pavilion g6 Notebook PC,AMD A6,4,,,,,,,Ноутбук,"Для работы, учебы",,,Windows,Серебристый,,Самовывоз,"HP HP Pavilion g6 Notebook PC, AMD A6, 4 ГБ ОЗУ",https://lalafo.kg/bishkek/ads/hp-hp-pavilion-g6-notebook-pc-amd-a6-4-gb-ozu-id-93431947,10 000 KGS
,,,,,,,,,,,,,,,,Белый,,Платная доставка,Продаю Ноутбук hp,https://lalafo.kg/dzhalal-abad/ads/prodau-noutbuk-hp-id-99563219,5 000 KGS
Новый,Lenovo,,AMD Ryzen 5,,,12,,,,,Ноутбук,Игровой,,,,,,Самовывоз,Ноутбук Lenovo ideapad Gaming 3 gtx1650 / Ryzen 5-5600H / 120hz,https://lalafo.kg/bishkek/ads/noutbuk-lenovo-ideapad-gaming-3-gtx1650-ryzen-5-5600h-120hz-id-96518589,110 000 KGS
Новый,MSI,GF63,Intel Core i5,32,Более 3 ГГц,12,15.6,Full HD (1920x1080),IPS,NVIDIA GeForce GTX 1650 Max-Q,Ноутбук,Игровой,HDD + SSD,более 1 ТБ,Windows,Красный,,Самовывоз,"MSI GF63, Intel Core i5, 32 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/msi-gf63-intel-core-i5-32-gb-ozu-156-id-63105395,99 500 KGS
Б/у,Asus,,Intel Core i3,4,2.0 - 2.4 ГГц,,,,,,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,,Самовывоз,"Asus Intel Core i3, 4 ГБ ОЗУ",https://lalafo.kg/bishkek/ads/asus-intel-core-i3-4-gb-ozu-id-98037007,23 000 KGS
Б/у,Asus,X455L,Intel Core i5,4,2.0 - 2.4 ГГц,4,15,HD (1366x768),IPS,Другая видеокарта,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Asus X455L, Intel Core i5, 4 ГБ ОЗУ, 15 """,https://lalafo.kg/bishkek/ads/asus-x455l-intel-core-i5-4-gb-ozu-15-id-75690031,26 000 KGS
Б/у,Acer,PEW 71,Intel Core i3,8,2.0 - 2.4 ГГц,2,15.6,HD (1366x768),Другой тип матрицы,Другая видеокарта,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Acer PEW 71, Intel Core i3, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/acer-pew-71-intel-core-i3-8-gb-ozu-156-id-78863793,12 000 KGS
Новый,Acer,,AMD A6,,,6,,,,,Ноутбук,Игровой,,,,,,Платная доставка,"Ремонт,скупка, продажа ноутбуки, компьютеры и аксессуары",https://lalafo.kg/bishkek/ads/remontskupka-prodaza-noutbuki-komputery-i-aksessuary-id-96174642,Договорная
Б/у,Apple,,Intel Core i5,4,2.0 - 2.4 ГГц,2,13.3,2K (2560х1600),,,Ноутбук,"Для работы, учебы",SSD,128 ГБ,Mac OS,Белый,,Платная доставка,"Apple Intel Core i5, 4 ГБ ОЗУ, 13.3 """,https://lalafo.kg/bishkek/ads/apple-intel-core-i5-4-gb-ozu-133-id-86091500,38 000 KGS
Новый,Lenovo,,AMD A6,4,,2,,,,,Ноутбук,Для несложных задач,,,,,,Самовывоз,"Продам новый lenovo ip1 amd a6 9220, 4gb, 64gb ssd, 14"" win10",https://lalafo.kg/bishkek/ads/prodam-novyj-lenovo-ip1-amd-a6-9220-4gb-64gb-ssd-14-win10-id-89075733,300 USD
Б/у,Asus,,,,,,,,,,Ноутбук,"Для работы, учебы",,,,,,,Линейка процессора: amd a12 / intel celeron / intel core i3 / intel,https://lalafo.kg/bishkek/ads/linejka-processora-amd-a12-intel-celeron-intel-core-i3-intel-id-99561373,33 000 KGS
Б/у,HP,,AMD Ryzen 7,8,,8,,,,,Ультрабук,"Для работы, учебы",,,,,,Самовывоз,Срочно! Продаю hp elitebook 745 g5 Цена окончательная Проц ryzen 7,https://lalafo.kg/bishkek/ads/srocno-prodau-hp-elitebook-745-g5-cena-okoncatelnaa-proc-ryzen-7-id-91697052,500 USD
Б/у,Apple,Mac book pro 2017,Intel Core i5,16,Более 3 ГГц,8,13.1,Другое разрешение экрана,,,,,SSD,256 ГБ,Mac OS,Серебристый,,,"Apple Mac book pro 2017, Intel Core i5, 16 ГБ ОЗУ, 13.1 """,https://lalafo.kg/kok-dzhar/ads/apple-mac-book-pro-2017-intel-core-i5-16-gb-ozu-131-id-98972579,63 000 KGS
Б/у,Apple,Air,Apple M1,8,Более 3 ГГц,8,13.1,Другое разрешение экрана,Другой тип матрицы,Другая видеокарта,Ноутбук,Игровой,HDD,256 ГБ,Mac OS,Серебристый,До 3500 мАч,Самовывоз,"Apple Air, Apple M1, 8 ГБ ОЗУ, 13.1 """,https://lalafo.kg/bishkek/ads/apple-air-apple-m1-8-gb-ozu-131-id-70541560,1 000 USD
Б/у,Acer,emachines,Intel Pentium,,,,,,,,Ноутбук,"Для работы, учебы",,,,Черный,,,"Acer emachines, Intel Pentium",https://lalafo.kg/bishkek/ads/acer-emachines-intel-pentium-id-99560018,15 000 KGS
Б/у,Lenovo,,Intel Core i3,4,2.0 - 2.4 ГГц,4,15.6,HD (1366x768),IPS,Другая видеокарта,Ноутбук,Игровой,HDD,до 128 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Lenovo Intel Core i3, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/lenovo-intel-core-i3-4-gb-ozu-156-id-75690086,23 000 KGS
Новый,HP,Laptop ,Intel Core i3,16,2.0 - 2.4 ГГц,8,15.6,Full HD (1920x1080),IPS,,Ноутбук,Игровой,SSD,256 ГБ,Windows,Серебристый,5000 - 6000 мАч,Бесплатная доставка,"HP Laptop Intel Core i3, 16 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/hp-laptop-intel-core-i3-16-gb-ozu-156-id-98130776,55 000 KGS
Б/у,Apple,,,4,,2,13.1 - 14.0,,,,Ноутбук,"Для работы, учебы",,,,,,Самовывоз,MacBook Pro заменить надо аккумулятор . звонить и писать только на,https://lalafo.kg/kara-balta/ads/macbook-pro-zamenit-nado-akkumulator-zvonit-i-pisat-tolko-na-id-89056550,16 000 KGS
Б/у,Asus,ASUS,AMD Ryzen 5,8,Более 3 ГГц,12,15.6,Другое разрешение экрана,IPS,NVIDIA GeForce GTX 1650,Ноутбук,Игровой,SSD,512 ГБ,Windows,Черный,6000 - 7000 мАч,Самовывоз,"Asus ASUS, AMD Ryzen 5, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/asus-asus-amd-ryzen-5-8-gb-ozu-156-id-99670281,72 000 KGS
Б/у,Xiaomi,,Intel Core i7,16,Более 3 ГГц,4,15.6,Full HD (1920x1080),IPS,,Ноутбук,,SSD,512 ГБ,Windows,,,,Ноутбук-MI -для программирования -модель-TM1802-D -процессор-core,https://lalafo.kg/osh/ads/noutbuk-mi-dla-programmirovania-model-tm1802-d-processor-core-id-89438333,58 000 KGS
Новый,Lenovo,,AMD Ryzen 5,,,12,,,,,Ноутбук,Игровой,,,,,,Самовывоз,Ноутбук Lenovo ideapad Gaming 3 gtx1650 / Ryzen 5-5600H / 120hz,https://lalafo.kg/bishkek/ads/noutbuk-lenovo-ideapad-gaming-3-gtx1650-ryzen-5-5600h-120hz-id-96518589,110 000 KGS
Новый,MSI,GF63,Intel Core i5,32,Более 3 ГГц,12,15.6,Full HD (1920x1080),IPS,NVIDIA GeForce GTX 1650 Max-Q,Ноутбук,Игровой,HDD + SSD,более 1 ТБ,Windows,Красный,,Самовывоз,"MSI GF63, Intel Core i5, 32 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/msi-gf63-intel-core-i5-32-gb-ozu-156-id-63105395,99 500 KGS
Б/у,Asus,,Intel Core i3,4,2.0 - 2.4 ГГц,,,,,,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,,Самовывоз,"Asus Intel Core i3, 4 ГБ ОЗУ",https://lalafo.kg/bishkek/ads/asus-intel-core-i3-4-gb-ozu-id-98037007,23 000 KGS
Б/у,Asus,X455L,Intel Core i5,4,2.0 - 2.4 ГГц,4,15,HD (1366x768),IPS,Другая видеокарта,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Asus X455L, Intel Core i5, 4 ГБ ОЗУ, 15 """,https://lalafo.kg/bishkek/ads/asus-x455l-intel-core-i5-4-gb-ozu-15-id-75690031,26 000 KGS
Б/у,Acer,PEW 71,Intel Core i3,8,2.0 - 2.4 ГГц,2,15.6,HD (1366x768),Другой тип матрицы,Другая видеокарта,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Acer PEW 71, Intel Core i3, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/acer-pew-71-intel-core-i3-8-gb-ozu-156-id-78863793,12 000 KGS
Новый,Acer,,AMD A6,,,6,,,,,Ноутбук,Игровой,,,,,,Платная доставка,"Ремонт,скупка, продажа ноутбуки, компьютеры и аксессуары",https://lalafo.kg/bishkek/ads/remontskupka-prodaza-noutbuki-komputery-i-aksessuary-id-96174642,Договорная
Б/у,Apple,,Intel Core i5,4,2.0 - 2.4 ГГц,2,13.3,2K (2560х1600),,,Ноутбук,"Для работы, учебы",SSD,128 ГБ,Mac OS,Белый,,Платная доставка,"Apple Intel Core i5, 4 ГБ ОЗУ, 13.3 """,https://lalafo.kg/bishkek/ads/apple-intel-core-i5-4-gb-ozu-133-id-86091500,38 000 KGS
Новый,Lenovo,,AMD A6,4,,2,,,,,Ноутбук,Для несложных задач,,,,,,Самовывоз,"Продам новый lenovo ip1 amd a6 9220, 4gb, 64gb ssd, 14"" win10",https://lalafo.kg/bishkek/ads/prodam-novyj-lenovo-ip1-amd-a6-9220-4gb-64gb-ssd-14-win10-id-89075733,300 USD
Б/у,Asus,,,,,,,,,,Ноутбук,"Для работы, учебы",,,,,,,Линейка процессора: amd a12 / intel celeron / intel core i3 / intel,https://lalafo.kg/bishkek/ads/linejka-processora-amd-a12-intel-celeron-intel-core-i3-intel-id-99561373,33 000 KGS
Б/у,HP,,AMD Ryzen 7,8,,8,,,,,Ультрабук,"Для работы, учебы",,,,,,Самовывоз,Срочно! Продаю hp elitebook 745 g5 Цена окончательная Проц ryzen 7,https://lalafo.kg/bishkek/ads/srocno-prodau-hp-elitebook-745-g5-cena-okoncatelnaa-proc-ryzen-7-id-91697052,500 USD
Б/у,Apple,Mac book pro 2017,Intel Core i5,16,Более 3 ГГц,8,13.1,Другое разрешение экрана,,,,,SSD,256 ГБ,Mac OS,Серебристый,,,"Apple Mac book pro 2017, Intel Core i5, 16 ГБ ОЗУ, 13.1 """,https://lalafo.kg/kok-dzhar/ads/apple-mac-book-pro-2017-intel-core-i5-16-gb-ozu-131-id-98972579,63 000 KGS
Б/у,Apple,Air,Apple M1,8,Более 3 ГГц,8,13.1,Другое разрешение экрана,Другой тип матрицы,Другая видеокарта,Ноутбук,Игровой,HDD,256 ГБ,Mac OS,Серебристый,До 3500 мАч,Самовывоз,"Apple Air, Apple M1, 8 ГБ ОЗУ, 13.1 """,https://lalafo.kg/bishkek/ads/apple-air-apple-m1-8-gb-ozu-131-id-70541560,1 000 USD
Б/у,Acer,emachines,Intel Pentium,,,,,,,,Ноутбук,"Для работы, учебы",,,,Черный,,,"Acer emachines, Intel Pentium",https://lalafo.kg/bishkek/ads/acer-emachines-intel-pentium-id-99560018,15 000 KGS
Б/у,Lenovo,IDEAPAD 1,Intel Celeron,4,2.0 - 2.4 ГГц,2,14,HD (1366x768),Другой тип матрицы,Другая видеокарта,Ноутбук,"Для работы, учебы",SSD,128 ГБ,Windows,Серый,4000 - 5000 мАч,Самовывоз,"Lenovo IDEAPAD 1, Intel Celeron, 4 ГБ ОЗУ, 14 """,https://lalafo.kg/bishkek/ads/lenovo-ideapad-1-intel-celeron-4-gb-ozu-14-id-98286640,26 000 KGS
Б/у,Dell,,Intel Core i5,4,2.0 - 2.4 ГГц,4,15.6,HD (1366x768),IPS,Другая видеокарта,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,3500 - 4000 мАч,Самовывоз,"Dell Intel Core i5, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/dell-intel-core-i5-4-gb-ozu-156-id-75405579,23 800 KGS
Б/у,Acer,,,,,,,,,,,,,,,Черный,,,Acer,https://lalafo.kg/kyzyl-kiya/ads/acer-id-96524686,12 000 KGS
Б/у,Acer,DESKTOP,,4,2.0 - 2.4 ГГц,4,15.6,HD (1366x768),,Другая видеокарта,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,,Самовывоз,"Acer DESKTOP, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/acer-desktop-4-gb-ozu-156-id-83547180,15 500 KGS
Б/у,HP,,AMD Ryzen 7,16,Более 3 ГГц,4,14.3,Full HD (1920x1080),IPS,,Ультрабук,,SSD,256 ГБ,Windows,,,,Ультрабук для программирования -HP -модель-ELITEBOOK 745 G6,https://lalafo.kg/osh/ads/ultrabuk-dla-programmirovania-hp-model-elitebook-745-g6-id-89176390,57 000 KGS
Б/у,Другой бренд ноутбука,Walmart ,Intel Core i7,16,2.0 - 2.4 ГГц,12,15.4,4K (3840х2160),,NVIDIA GeForce GTX 1060,Ноутбук,Игровой,HDD + SSD,более 1 ТБ,Windows,Черный,3500 - 4000 мАч,Самовывоз,"Walmart Intel Core i7, 16 ГБ ОЗУ, 15.4 """,https://lalafo.kg/bishkek/ads/walmart-intel-core-i7-16-gb-ozu-154-id-96060864,90 000 KGS
,Другой бренд ноутбука,,,,,,,,,,Ноутбук,Игровой,,,,,,,Скупка Ноутбуков в любом состоянии! Скупка Мониторов! •Высокая,https://lalafo.kg/bishkek/ads/skupka-noutbukov-v-lubom-sostoanii-skupka-monitorov-vysokaa-id-98727836,Договорная
Б/у,HP,,AMD A8,4,1.5 - 1.9 ГГц,,14.3,HD (1366x768),,,Ультрабук,"Для работы, учебы",HDD,512 ГБ,Windows,Серебристый,,,"HP AMD A8, 4 ГБ ОЗУ, 14.3 """,https://lalafo.kg/osh/ads/hp-amd-a8-4-gb-ozu-143-id-86404138,19 500 KGS
Б/у,Lenovo,15ISK,Intel Core i3,8,1.5 - 1.9 ГГц,4,15.6,HD (1366x768),TN+film,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,До 3500 мАч,Самовывоз,"Lenovo 15ISK, Intel Core i3, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/novopavlovka/ads/lenovo-15isk-intel-core-i3-8-gb-ozu-156-id-95381539,13 000 KGS
Б/у,Lenovo,,Intel Core i3,4,2.0 - 2.4 ГГц,4,15.6,HD (1366x768),IPS,Другая видеокарта,Ноутбук,Игровой,HDD,до 128 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Lenovo Intel Core i3, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/lenovo-intel-core-i3-4-gb-ozu-156-id-75690086,23 000 KGS
Новый,HP,Laptop ,Intel Core i3,16,2.0 - 2.4 ГГц,8,15.6,Full HD (1920x1080),IPS,,Ноутбук,Игровой,SSD,256 ГБ,Windows,Серебристый,5000 - 6000 мАч,Бесплатная доставка,"HP Laptop Intel Core i3, 16 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/hp-laptop-intel-core-i3-16-gb-ozu-156-id-98130776,55 000 KGS
Б/у,Apple,,,4,,2,13.1 - 14.0,,,,Ноутбук,"Для работы, учебы",,,,,,Самовывоз,MacBook Pro заменить надо аккумулятор . звонить и писать только на,https://lalafo.kg/kara-balta/ads/macbook-pro-zamenit-nado-akkumulator-zvonit-i-pisat-tolko-na-id-89056550,16 000 KGS
Б/у,Asus,ASUS,AMD Ryzen 5,8,Более 3 ГГц,12,15.6,Другое разрешение экрана,IPS,NVIDIA GeForce GTX 1650,Ноутбук,Игровой,SSD,512 ГБ,Windows,Черный,6000 - 7000 мАч,Самовывоз,"Asus ASUS, AMD Ryzen 5, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/asus-asus-amd-ryzen-5-8-gb-ozu-156-id-99670281,72 000 KGS
Б/у,Xiaomi,,Intel Core i7,16,Более 3 ГГц,4,15.6,Full HD (1920x1080),IPS,,Ноутбук,,SSD,512 ГБ,Windows,,,,Ноутбук-MI -для программирования -модель-TM1802-D -процессор-core,https://lalafo.kg/osh/ads/noutbuk-mi-dla-programmirovania-model-tm1802-d-processor-core-id-89438333,58 000 KGS
Б/у,Другой бренд ноутбука,Walmart ,Intel Core i7,16,2.0 - 2.4 ГГц,12,15.4,4K (3840х2160),,NVIDIA GeForce GTX 1060,Ноутбук,Игровой,HDD + SSD,более 1 ТБ,Windows,Черный,3500 - 4000 мАч,Самовывоз,"Walmart Intel Core i7, 16 ГБ ОЗУ, 15.4 """,https://lalafo.kg/bishkek/ads/walmart-intel-core-i7-16-gb-ozu-154-id-96060864,90 000 KGS
,Другой бренд ноутбука,,,,,,,,,,Ноутбук,Игровой,,,,,,,Скупка Ноутбуков в любом состоянии! Скупка Мониторов! •Высокая,https://lalafo.kg/bishkek/ads/skupka-noutbukov-v-lubom-sostoanii-skupka-monitorov-vysokaa-id-98727836,Договорная
Б/у,HP,,AMD A8,4,1.5 - 1.9 ГГц,,14.3,HD (1366x768),,,Ультрабук,"Для работы, учебы",HDD,512 ГБ,Windows,Серебристый,,,"HP AMD A8, 4 ГБ ОЗУ, 14.3 """,https://lalafo.kg/osh/ads/hp-amd-a8-4-gb-ozu-143-id-86404138,19 500 KGS
Б/у,Lenovo,15ISK,Intel Core i3,8,1.5 - 1.9 ГГц,4,15.6,HD (1366x768),TN+film,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,До 3500 мАч,Самовывоз,"Lenovo 15ISK, Intel Core i3, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/novopavlovka/ads/lenovo-15isk-intel-core-i3-8-gb-ozu-156-id-95381539,13 000 KGS
Б/у,Asus,,Intel Core i5,8,2.5 - 2.9 ГГц,2,15.6,HD (1366x768),IPS,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD + SSD,1 ТБ,Windows,Серый,,Самовывоз,"Asus Intel Core i5, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/asus-intel-core-i5-8-gb-ozu-156-id-95356879,18 000 KGS
Б/у,Apple,,Intel Core i7,,,,,,,,Ноутбук,"Для работы, учебы",,,,Черный,,,Apple Intel Core i7,https://lalafo.kg/bishkek/ads/apple-intel-core-i7-id-51249698,35 000 KGS
Б/у,Asus,,,4,,,,,,,,Игровой,,,,Бежевый,,,Asus 4 ГБ ОЗУ,https://lalafo.kg/bishkek/ads/asus-4-gb-ozu-id-99558481,14 500 KGS
Б/у,Acer,5100,,до 2,1.5 - 1.9 ГГц,До 2,15.4,,,,,,HDD,256 ГБ,Windows,,,Самовывоз,Acer ? -1 Gb ПЗУ - 500 gb хорош для начинающего программиста,https://lalafo.kg/tokmak/ads/acer-1-gb-pzu-500-gb-horos-dla-nacinausego-programmista-id-99556995,4 000 KGS
Новый,HP,,,6 - 8,,10,,,,,Ноутбук,Игровой,,,,,,Самовывоз,Зарядное устройство на ноутбук HP,https://lalafo.kg/kant/ads/zaradnoe-ustrojstvo-na-noutbuk-hp-id-95368967,1 000 KGS
,Lenovo,THINKPAD,Intel Core i7,до 2,,,14,,IPS,,Ультрабук,"Для работы, учебы",SSD,512 ГБ,,Черный,,Самовывоз,"Lenovo THINKPAD, Intel Core i7, до 2 ГБ ОЗУ, 14 """,https://lalafo.kg/osh/ads/lenovo-thinkpad-intel-core-i7-do-2-gb-ozu-14-id-99555650,40 000 KGS
Новый,Lenovo,,AMD Ryzen 5,,,12,,,,,Ноутбук,Игровой,,,,,,Самовывоз,Ноутбук Lenovo ideapad Gaming 3 gtx1650 / Ryzen 5-5600H / 120hz,https://lalafo.kg/bishkek/ads/noutbuk-lenovo-ideapad-gaming-3-gtx1650-ryzen-5-5600h-120hz-id-96518589,110 000 KGS
Новый,MSI,GF63,Intel Core i5,32,Более 3 ГГц,12,15.6,Full HD (1920x1080),IPS,NVIDIA GeForce GTX 1650 Max-Q,Ноутбук,Игровой,HDD + SSD,более 1 ТБ,Windows,Красный,,Самовывоз,"MSI GF63, Intel Core i5, 32 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/msi-gf63-intel-core-i5-32-gb-ozu-156-id-63105395,99 500 KGS
Б/у,Asus,,Intel Core i3,4,2.0 - 2.4 ГГц,,,,,,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,Черный,,Самовывоз,"Asus Intel Core i3, 4 ГБ ОЗУ",https://lalafo.kg/bishkek/ads/asus-intel-core-i3-4-gb-ozu-id-98037007,23 000 KGS
Б/у,Asus,X455L,Intel Core i5,4,2.0 - 2.4 ГГц,4,15,HD (1366x768),IPS,Другая видеокарта,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Asus X455L, Intel Core i5, 4 ГБ ОЗУ, 15 """,https://lalafo.kg/bishkek/ads/asus-x455l-intel-core-i5-4-gb-ozu-15-id-75690031,26 000 KGS
Б/у,Acer,PEW 71,Intel Core i3,8,2.0 - 2.4 ГГц,2,15.6,HD (1366x768),Другой тип матрицы,Другая видеокарта,Ноутбук,Игровой,HDD,512 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Acer PEW 71, Intel Core i3, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/acer-pew-71-intel-core-i3-8-gb-ozu-156-id-78863793,12 000 KGS
Новый,Acer,,AMD A6,,,6,,,,,Ноутбук,Игровой,,,,,,Платная доставка,"Ремонт,скупка, продажа ноутбуки, компьютеры и аксессуары",https://lalafo.kg/bishkek/ads/remontskupka-prodaza-noutbuki-komputery-i-aksessuary-id-96174642,Договорная
Б/у,Apple,,Intel Core i5,4,2.0 - 2.4 ГГц,2,13.3,2K (2560х1600),,,Ноутбук,"Для работы, учебы",SSD,128 ГБ,Mac OS,Белый,,Платная доставка,"Apple Intel Core i5, 4 ГБ ОЗУ, 13.3 """,https://lalafo.kg/bishkek/ads/apple-intel-core-i5-4-gb-ozu-133-id-86091500,38 000 KGS
Б/у,Toshiba,portege r830,Intel Core i5,4,2.5 - 2.9 ГГц,,13.3,HD (1366x768),,,Ноутбук,"Для работы, учебы",HDD,,Windows,Черный,,Самовывоз,"Toshiba portege r830, Intel Core i5, 4 ГБ ОЗУ, 13.3 """,https://lalafo.kg/bishkek/ads/toshiba-portege-r830-intel-core-i5-4-gb-ozu-133-id-92711951,15 000 KGS
Б/у,Asus,,,2,,2,,,,,Ноутбук,,,,Windows,Коричневый,,,Asus 2 ГБ ОЗУ,https://lalafo.kg/bishkek/ads/asus-2-gb-ozu-id-99555474,9 500 KGS
Б/у,Acer,N16C1,Intel Core i5,6,2.5 - 2.9 ГГц,4,14,Full HD (1920х1200),AMOLED,Другая видеокарта,Ноутбук,Игровой,HDD + SSD,128 ГБ,Windows,Черный,4000 - 5000 мАч,Самовывоз,"Acer N16C1, Intel Core i5, 6 ГБ ОЗУ, 14 """,https://lalafo.kg/bishkek/ads/acer-n16c1-intel-core-i5-6-gb-ozu-14-id-99060428,34 000 KGS
Б/у,Lenovo,T440p,Intel Core i5,4,Более 3 ГГц,4,14,HD (1366x768),Другой тип матрицы,Другая видеокарта,Ноутбук,Игровой,SSD,512 ГБ,Другая ОС,Черный,5000 - 6000 мАч,Самовывоз,"Lenovo T440p, Intel Core i5, 4 ГБ ОЗУ, 14 """,https://lalafo.kg/bishkek/ads/lenovo-t440p-intel-core-i5-4-gb-ozu-14-id-80417483,16 000 KGS
Б/у,Lenovo,,Intel Core i3,4,2.0 - 2.4 ГГц,4,15.6,HD (1366x768),IPS,Другая видеокарта,Ноутбук,Игровой,HDD,до 128 ГБ,Windows,Черный,5000 - 6000 мАч,Самовывоз,"Lenovo Intel Core i3, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/lenovo-intel-core-i3-4-gb-ozu-156-id-75690086,23 000 KGS
Новый,HP,Laptop ,Intel Core i3,16,2.0 - 2.4 ГГц,8,15.6,Full HD (1920x1080),IPS,,Ноутбук,Игровой,SSD,256 ГБ,Windows,Серебристый,5000 - 6000 мАч,Бесплатная доставка,"HP Laptop Intel Core i3, 16 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/hp-laptop-intel-core-i3-16-gb-ozu-156-id-98130776,55 000 KGS
Б/у,Apple,,,4,,2,13.1 - 14.0,,,,Ноутбук,"Для работы, учебы",,,,,,Самовывоз,MacBook Pro заменить надо аккумулятор . звонить и писать только на,https://lalafo.kg/kara-balta/ads/macbook-pro-zamenit-nado-akkumulator-zvonit-i-pisat-tolko-na-id-89056550,16 000 KGS
Б/у,Asus,ASUS,AMD Ryzen 5,8,Более 3 ГГц,12,15.6,Другое разрешение экрана,IPS,NVIDIA GeForce GTX 1650,Ноутбук,Игровой,SSD,512 ГБ,Windows,Черный,6000 - 7000 мАч,Самовывоз,"Asus ASUS, AMD Ryzen 5, 8 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/asus-asus-amd-ryzen-5-8-gb-ozu-156-id-99670281,72 000 KGS
